T,TM,Tm,H,VV,V,VM,PM2.5,nan
26.4,33.8,21.6,58.0,7.6,5.6,7.6,128.125,nan
26.2,35.7,22.4,71.0,6.9,3.0,5.4,101.95833333333331,nan
25.2,33.8,21.4,75.0,6.3,5.0,7.6,98.41666666666669,nan
27.3,34.0,20.9,64.0,6.9,5.0,9.4,94.375,nan
26.5,33.5,22.0,58.0,6.3,8.0,11.1,107.625,nan
26.6,33.0,22.0,62.0,6.9,6.3,7.6,110.41666666666669,nan
25.5,33.0,20.6,66.0,6.9,6.3,7.6,95.83333333333331,nan
23.7,31.3,20.8,81.0,5.8,2.8,5.4,72.25,nan
21.8,29.4,20.0,90.0,5.5,6.1,7.6,38.66666666666666,nan
22.3,27.6,20.0,86.0,5.5,6.1,9.4,45.375,nan
22.3,27.6,19.2,85.0,5.5,6.3,7.6,65.16666666666667,nan
23.8,29.9,21.0,80.0,6.9,8.7,11.1,66.08333333333333,nan
23.0,28.8,20.1,77.0,6.3,8.1,11.1,77.66666666666667,nan
23.8,28.4,20.1,70.0,6.9,12.4,18.3,70.25,nan
23.7,28.3,20.0,69.0,6.9,11.3,14.8,56.29166666666666,nan
23.7,28.3,20.5,70.0,6.3,9.8,16.5,77.0,nan
23.4,28.6,20.0,74.0,6.9,9.6,11.1,32.958333333333336,nan
24.3,29.2,20.2,71.0,7.4,8.5,11.1,80.625,nan
23.6,30.2,20.3,74.0,6.9,7.2,9.4,90.70833333333331,nan
23.4,30.2,20.0,78.0,6.9,5.0,5.4,97.29166666666669,nan
23.4,28.4,20.6,77.0,6.9,8.9,18.3,50.708333333333336,nan
22.4,27.8,20.4,87.0,6.9,5.2,5.4,40.375,nan
23.5,28.5,20.6,75.0,6.9,5.7,7.6,49.41666666666666,nan
23.7,29.2,19.4,70.0,6.9,8.5,14.8,64.56521739130434,nan
22.6,29.2,19.8,79.0,5.5,6.9,11.1,0.0,nan
22.2,28.1,19.9,83.0,6.9,6.7,11.1,54.76923076923077,nan
23.3,29.6,20.6,76.0,6.3,5.0,9.4,51.26086956521739,nan
23.8,28.7,20.5,73.0,6.9,5.7,9.4,43.66666666666666,nan
22.6,28.8,20.4,82.0,6.9,5.6,7.6,29.83333333333333,nan
22.2,27.3,20.2,84.0,6.3,5.9,9.4,35.208333333333336,nan
23.1,27.4,19.8,79.0,6.3,5.0,7.6,37.625,nan
23.1,28.3,20.2,81.0,5.8,4.6,7.6,41.458333333333336,nan
21.4,27.0,19.7,90.0,6.3,5.4,7.6,38.583333333333336,nan
21.3,27.0,19.7,93.0,6.3,5.4,7.6,36.0,nan
22.5,26.0,19.9,84.0,6.3,5.9,7.6,70.58333333333333,nan
23.1,27.6,19.8,75.0,6.9,9.8,11.1,33.166666666666664,nan
22.6,27.6,20.0,77.0,6.9,8.1,11.1,38.25,nan
22.3,27.4,19.7,84.0,6.9,6.7,11.1,26.58333333333333,nan
22.0,26.9,20.0,76.0,6.9,11.7,22.2,15.416666666666666,nan
22.4,26.2,20.0,79.0,6.6,9.8,14.8,41.375,nan
23.2,28.4,20.1,78.0,6.9,9.8,11.1,25.541666666666668,nan
22.7,28.4,20.2,80.0,6.3,6.7,11.1,28.375,nan
23.4,28.0,20.1,76.0,6.9,6.3,7.6,50.333333333333336,nan
23.9,29.5,20.6,74.0,6.3,6.1,9.4,35.375,nan
23.7,29.5,20.9,76.0,6.9,6.3,9.4,31.916666666666668,nan
22.9,27.8,20.4,83.0,6.3,4.4,5.4,35.291666666666664,nan
21.3,27.8,19.8,88.0,5.5,4.6,7.6,26.83333333333333,nan
20.7,25.1,19.0,89.0,6.9,4.4,5.4,21.125,nan
22.6,26.8,19.6,81.0,6.3,8.5,14.8,35.708333333333336,nan
22.4,26.7,19.7,81.0,5.5,6.7,9.4,43.583333333333336,nan
22.7,28.4,20.1,77.0,6.9,6.7,7.6,46.04166666666666,nan
22.4,26.7,19.5,82.0,6.3,5.2,7.6,82.875,nan
23.9,29.0,19.5,73.0,6.3,4.6,7.6,64.91666666666667,nan
24.2,29.7,19.9,69.0,6.9,3.9,5.4,30.666666666666668,nan
24.6,30.1,21.9,77.0,6.9,1.5,5.4,34.416666666666664,nan
24.3,30.8,19.2,72.0,6.9,0.9,3.5,33.166666666666664,nan
23.9,31.4,19.0,76.0,6.9,1.5,5.4,30.625,nan
